GridIndex, TrialID, ISA, lAnalysis1.nGo, lAnalysis1.nNoGo, lAnalysis1.nPause, lAnalysis1.dPrGrtMAV, bISAAnalysisRun
1, 1, 2, 0, 0, 1, 0.602, 1
1, 2, 2, 0, 0, 1, 0.7408, 1
1, 3, 2, 0, 0, 1, 0.0698666666666667, 1
1, 4, 2, 0, 0, 1, 0.851333333333333, 1
1, 5, 2, 0, 1, 0, 0.00413333333333333, 1
1, 6, 2, 0, 0, 1, 0.449866666666667, 1
1, 7, 2, 0, 0, 1, 0.940666666666667, 1
1, 8, 2, 0, 0, 1, 0.264, 1
1, 9, 2, 0, 0, 1, 0.6896, 1
1, 10, 2, 0, 0, 1, 0.584533333333333, 1
1, 11, 2, 0, 0, 1, 0.3896, 1
1, 12, 2, 0, 0, 1, 0.5008, 1
1, 13, 2, 0, 0, 1, 0.563066666666667, 1
1, 14, 2, 0, 0, 1, 0.199333333333333, 1
1, 15, 2, 0, 0, 1, 0.927866666666667, 1
1, 16, 2, 0, 0, 1, 0.954, 1
1, 17, 2, 0, 0, 1, 0.841866666666667, 1
1, 18, 2, 0, 0, 1, 0.213066666666667, 1
1, 19, 2, 0, 0, 1, 0.944, 1
1, 20, 2, 0, 0, 1, 0.766933333333333, 1
1, 21, 2, 0, 0, 1, 0.338533333333333, 1
1, 22, 2, 0, 0, 1, 0.2192, 1
1, 23, 2, 0, 0, 1, 0.5712, 1
1, 24, 2, 0, 0, 1, 0.1388, 1
1, 25, 2, 0, 0, 1, 0.0989333333333333, 1
1, 26, 2, 0, 0, 1, 0.492666666666667, 1
1, 27, 2, 0, 0, 1, 0.3516, 1
1, 28, 2, 0, 0, 1, 0.415333333333333, 1
1, 29, 2, 0, 0, 1, 0.9508, 1
1, 30, 2, 0, 0, 1, 0.8392, 1
1, 31, 2, 0, 0, 1, 0.0442666666666667, 1
1, 32, 2, 0, 0, 1, 0.262266666666667, 1
1, 33, 2, 0, 0, 1, 0.770933333333333, 1
1, 34, 2, 0, 0, 1, 0.643866666666667, 1
1, 35, 2, 0, 0, 1, 0.3088, 1
1, 36, 2, 0, 0, 1, 0.413866666666667, 1
1, 37, 2, 0, 0, 1, 0.0749333333333333, 1
1, 38, 2, 0, 0, 1, 0.4072, 1
1, 39, 2, 0, 0, 1, 0.946, 1
1, 40, 2, 0, 0, 1, 0.724266666666667, 1
1, 41, 2, 0, 0, 1, 0.639866666666667, 1
1, 42, 2, 0, 0, 1, 0.9512, 1
1, 43, 2, 0, 0, 1, 0.483866666666667, 1
1, 44, 2, 0, 0, 1, 0.134533333333333, 1
1, 45, 2, 0, 0, 1, 0.430666666666667, 1
1, 46, 2, 0, 0, 1, 0.6268, 1
1, 47, 2, 0, 0, 1, 0.144133333333333, 1
1, 48, 2, 0, 0, 1, 0.684533333333333, 1
1, 49, 2, 0, 0, 1, 0.2812, 1
1, 50, 2, 0, 0, 1, 0.0397333333333333, 1
1, 51, 2, 0, 0, 1, 0.0310666666666667, 1
1, 52, 2, 0, 0, 1, 0.0533333333333333, 1
1, 53, 2, 1, 0, 0, 0.994, 1
1, 54, 2, 0, 0, 1, 0.931066666666667, 1
1, 55, 2, 0, 0, 1, 0.952533333333333, 1
1, 56, 2, 0, 0, 1, 0.883866666666667, 1
1, 57, 2, 0, 0, 1, 0.250266666666667, 1
1, 58, 2, 0, 0, 1, 0.643333333333333, 1
1, 59, 2, 0, 0, 1, 0.529066666666667, 1
1, 60, 2, 0, 0, 1, 0.879866666666667, 1
1, 61, 2, 0, 0, 1, 0.706133333333333, 1
1, 62, 2, 0, 0, 1, 0.115866666666667, 1
1, 63, 2, 0, 0, 1, 0.924, 1
1, 64, 2, 0, 0, 1, 0.4856, 1
1, 65, 2, 0, 0, 1, 0.4372, 1
1, 66, 2, 0, 0, 1, 0.3096, 1
1, 67, 2, 0, 0, 1, 0.972533333333333, 1
1, 68, 2, 0, 0, 1, 0.254266666666667, 1
1, 69, 2, 0, 0, 1, 0.3056, 1
1, 70, 2, 0, 0, 1, 0.910266666666667, 1
1, 71, 2, 0, 0, 1, 0.471466666666667, 1
1, 72, 2, 0, 0, 1, 0.166666666666667, 1
1, 73, 2, 0, 0, 1, 0.172933333333333, 1
1, 74, 2, 0, 0, 1, 0.8256, 1
1, 75, 2, 0, 0, 1, 0.233466666666667, 1
1, 76, 2, 0, 0, 1, 0.972133333333333, 1
1, 77, 2, 0, 0, 1, 0.346133333333333, 1
1, 78, 2, 0, 0, 1, 0.318, 1
1, 79, 2, 0, 0, 1, 0.305733333333333, 1
1, 80, 2, 0, 0, 1, 0.782933333333333, 1
1, 81, 2, 0, 0, 1, 0.879466666666667, 1
1, 82, 2, 0, 0, 1, 0.970133333333333, 1
1, 83, 2, 0, 0, 1, 0.0597333333333333, 1
