Design, iScen, GridIndex, TrialID, ISA1Status, ISA2Status, CurrentTime, ISA1Trt1, ISA1Trt2, ISA2Trt1, ISA2Trt3, ISAStart1, ISAStart2, ISAPause1, ISAPause2, FinalPatientEnrolledTimeISA1, FinalPatientEnrolledTimeISA2, StartIAISA1, StartIAISA2, FinalAnalysisTimeISA1, FinalAnalysisTimeISA2
1, 1, 1, 1, 7, 7, 28.0880489378451, 85, 85, 100, 100, 0, 6, 0, 0, 20.8528869306132, 27.0880389378451, 21.9348482480252, 28.0880489378451, 21.9348482480252, 28.0880489378451
1, 1, 1, 2, 7, 7, 26.621635135264, 85, 85, 100, 100, 0, 6, 0, 0, 21.4617185844997, 25.621625135264, 22.5804253084284, 26.621635135264, 22.5804253084284, 26.621635135264
1, 1, 1, 3, 7, 7, 26.1743910839585, 85, 85, 100, 100, 0, 6, 0, 0, 17.5753923349942, 25.1743810839585, 18.5837783727009, 26.1743910839585, 18.5837783727009, 26.1743910839585
1, 1, 1, 4, 7, 7, 29.4149199224887, 85, 85, 100, 100, 0, 6, 0, 0, 21.8443955828093, 28.4149099224887, 22.8561446951254, 29.4149199224887, 22.8561446951254, 29.4149199224887
1, 1, 1, 5, 7, 5, 27.4261589639913, 85, 85, 100, 100, 0, 6, 0, 0, 19.478689970686, 26.4261489639913, 20.6794744371963, 27.4261589639913, 20.6794744371963, 27.4261589639913
1, 1, 1, 6, 7, 7, 26.2916787526229, 85, 85, 100, 100, 0, 6, 0, 0, 17.9912878990739, 25.2916687526229, 19.0052253134387, 26.2916787526229, 19.0052253134387, 26.2916787526229
1, 1, 1, 7, 7, 7, 26.1177473731669, 85, 85, 100, 100, 0, 6, 0, 0, 18.6445522944988, 25.1177373731669, 19.6840751698966, 26.1177473731669, 19.6840751698966, 26.1177473731669
1, 1, 1, 8, 7, 7, 27.4980200349939, 85, 85, 100, 100, 0, 6, 0, 0, 18.8811253287279, 26.4980100349939, 19.965422361712, 27.4980200349939, 19.965422361712, 27.4980200349939
1, 1, 1, 9, 7, 7, 25.2399089058568, 85, 85, 100, 100, 0, 6, 0, 0, 15.9234850795895, 24.2398989058568, 17.0808050903774, 25.2399089058568, 17.0808050903774, 25.2399089058568
1, 1, 1, 10, 6, 7, 26.7796047798493, 85, 85, 100, 100, 0, 6, 0, 0, 18.8689081453405, 25.7795947798493, 19.9308731400235, 26.7796047798493, 19.9308731400235, 26.7796047798493
1, 1, 1, 11, 7, 7, 26.7192401743285, 85, 85, 100, 100, 0, 6, 0, 0, 17.6044859587218, 25.7192301743285, 18.6279166669224, 26.7192401743285, 18.6279166669224, 26.7192401743285
1, 1, 1, 12, 7, 7, 27.9069175925234, 85, 85, 100, 100, 0, 6, 0, 0, 17.315779540242, 26.9069075925234, 18.3240636941952, 27.9069175925234, 18.3240636941952, 27.9069175925234
1, 1, 1, 13, 7, 7, 27.5735144732338, 85, 85, 100, 100, 0, 6, 0, 0, 17.1570262827383, 26.5735044732338, 18.1622618410996, 27.5735144732338, 18.1622618410996, 27.5735144732338
1, 1, 1, 14, 7, 7, 25.0949584102035, 85, 85, 100, 100, 0, 6, 0, 0, 18.577722884372, 24.0949484102035, 19.6161542548889, 25.0949584102035, 19.6161542548889, 25.0949584102035
1, 1, 1, 15, 5, 7, 27.6274363676852, 85, 85, 100, 100, 0, 6, 0, 0, 20.198421922535, 26.6274263676852, 21.25394572728, 27.6274363676852, 21.25394572728, 27.6274363676852
1, 1, 1, 16, 7, 7, 25.4691145474831, 85, 85, 100, 100, 0, 6, 0, 0, 15.680641415041, 24.4691045474831, 16.7350196974093, 25.4691145474831, 16.7350196974093, 25.4691145474831
1, 1, 1, 17, 7, 7, 26.5185253996098, 85, 85, 100, 100, 0, 6, 0, 0, 18.2456274363749, 25.5185153996098, 19.353284771131, 26.5185253996098, 19.353284771131, 26.5185253996098
1, 1, 1, 18, 7, 7, 26.4450839759352, 85, 85, 100, 100, 0, 6, 0, 0, 16.296184455342, 25.4450739759352, 17.3992280723641, 26.4450839759352, 17.3992280723641, 26.4450839759352
1, 1, 1, 19, 7, 7, 26.1250710773013, 85, 85, 100, 100, 0, 6, 0, 0, 18.2964590730892, 25.1250610773013, 19.3632836789816, 26.1250710773013, 19.3632836789816, 26.1250710773013
1, 1, 1, 20, 7, 7, 25.005385370741, 85, 85, 100, 100, 0, 6, 0, 0, 19.4265591735631, 24.005375370741, 20.4418637854296, 25.005385370741, 20.4418637854296, 25.005385370741
1, 1, 1, 21, 7, 7, 27.5475571926911, 85, 85, 100, 100, 0, 6, 0, 0, 18.5822185880869, 26.5475471926911, 19.6088847396638, 27.5475571926911, 19.6088847396638, 27.5475571926911
1, 1, 1, 22, 7, 7, 27.3759405871175, 85, 85, 100, 100, 0, 6, 0, 0, 18.6800614649746, 26.3759305871175, 19.7528505555411, 27.3759405871175, 19.7528505555411, 27.3759405871175
1, 1, 1, 23, 7, 7, 23.5312464388858, 85, 85, 100, 100, 0, 6, 0, 0, 17.1212602971715, 22.5312364388858, 18.1663980568082, 23.5312464388858, 18.1663980568082, 23.5312464388858
1, 1, 1, 24, 7, 7, 25.8405129092558, 85, 85, 100, 100, 0, 6, 0, 0, 19.3770512430812, 24.8405029092558, 20.4081300214033, 25.8405129092558, 20.4081300214033, 25.8405129092558
1, 1, 1, 25, 7, 7, 26.2070831520569, 85, 85, 100, 100, 0, 6, 0, 0, 16.8112967710586, 25.2070731520569, 17.8771838068851, 26.2070831520569, 17.8771838068851, 26.2070831520569
1, 1, 1, 26, 7, 7, 26.4086389722192, 85, 85, 100, 100, 0, 6, 0, 0, 17.0292636109206, 25.4086289722192, 18.1492160924937, 26.4086389722192, 18.1492160924937, 26.4086389722192
1, 1, 1, 27, 7, 7, 28.6253651228198, 85, 85, 100, 100, 0, 6, 0, 0, 19.1421509059601, 27.6253551228198, 20.1458900037027, 28.6253651228198, 20.1458900037027, 28.6253651228198
1, 1, 1, 28, 7, 7, 26.9031123932214, 85, 85, 100, 100, 0, 6, 0, 0, 17.9365167772858, 25.9031023932214, 18.9707997452698, 26.9031123932214, 18.9707997452698, 26.9031123932214
1, 1, 1, 29, 6, 7, 27.0623513804956, 85, 85, 100, 100, 0, 6, 0, 0, 20.8422751700436, 26.0623413804956, 22.1051959018466, 27.0623513804956, 22.1051959018466, 27.0623513804956
1, 1, 1, 30, 7, 7, 25.9454392419082, 85, 85, 100, 100, 0, 6, 0, 0, 17.1618759460437, 24.9454292419082, 18.1841748296479, 25.9454392419082, 18.1841748296479, 25.9454392419082
1, 1, 1, 31, 7, 7, 26.5807652430813, 85, 85, 100, 100, 0, 6, 0, 0, 18.9534572964291, 25.5807552430813, 20.013987948078, 26.5807652430813, 20.013987948078, 26.5807652430813
1, 1, 1, 32, 7, 7, 25.7438687712739, 85, 85, 100, 100, 0, 6, 0, 0, 18.6387336879189, 24.7438587712739, 19.6412715101972, 25.7438687712739, 19.6412715101972, 25.7438687712739
1, 1, 1, 33, 7, 7, 28.234018822085, 85, 85, 100, 100, 0, 6, 0, 0, 20.5893864367694, 27.234008822085, 21.8405657759488, 28.234018822085, 21.8405657759488, 28.234018822085
1, 1, 1, 34, 7, 7, 26.8219536496585, 85, 85, 100, 100, 0, 6, 0, 0, 18.5145536820692, 25.8219436496585, 19.519928943423, 26.8219536496585, 19.519928943423, 26.8219536496585
1, 1, 1, 35, 7, 7, 28.4110587646586, 85, 85, 100, 100, 0, 6, 0, 0, 22.4943605911239, 27.4110487646586, 23.6099032301574, 28.4110587646586, 23.6099032301574, 28.4110587646586
1, 1, 1, 36, 7, 7, 25.6137736940705, 85, 85, 100, 100, 0, 6, 0, 0, 19.8146447120293, 24.6137636940705, 20.8365694415554, 25.6137736940705, 20.8365694415554, 25.6137736940705
1, 1, 1, 37, 6, 7, 25.4233933924587, 85, 85, 100, 100, 0, 6, 0, 0, 19.1658765680575, 24.4233833924587, 20.1706629331939, 25.4233933924587, 20.1706629331939, 25.4233933924587
1, 1, 1, 38, 7, 7, 26.5855483558123, 85, 85, 100, 100, 0, 6, 0, 0, 17.6431965805337, 25.5855383558123, 18.6850772149851, 26.5855483558123, 18.6850772149851, 26.5855483558123
1, 1, 1, 39, 7, 7, 26.9957573219939, 85, 85, 100, 100, 0, 6, 0, 0, 20.7537501819138, 25.9957473219939, 21.8026340154668, 26.9957573219939, 21.8026340154668, 26.9957573219939
1, 1, 1, 40, 7, 7, 25.953787042732, 85, 85, 100, 100, 0, 6, 0, 0, 15.5059562200272, 24.953777042732, 16.5139069232629, 25.953787042732, 16.5139069232629, 25.953787042732
1, 1, 1, 41, 7, 7, 25.2615344234061, 85, 85, 100, 100, 0, 6, 0, 0, 16.07250085836, 24.2615244234061, 17.1267822080546, 25.2615344234061, 17.1267822080546, 25.2615344234061
1, 1, 1, 42, 7, 7, 25.1616039137919, 85, 85, 100, 100, 0, 6, 0, 0, 16.4956138256881, 24.1615939137919, 17.5187760447376, 25.1616039137919, 17.5187760447376, 25.1616039137919
1, 1, 1, 43, 7, 7, 28.9338377879041, 85, 85, 100, 100, 0, 6, 0, 0, 19.0051671199368, 27.9338277879041, 20.1013225422495, 28.9338377879041, 20.1013225422495, 28.9338377879041
1, 1, 1, 44, 7, 7, 26.5874108473277, 85, 85, 100, 100, 0, 6, 0, 0, 17.6399115674238, 25.5874008473277, 19.2857155802789, 26.5874108473277, 19.2857155802789, 26.5874108473277
1, 1, 1, 45, 7, 7, 29.0709642569704, 85, 85, 100, 100, 0, 6, 0, 0, 19.1985354877063, 28.0709542569704, 20.2941773267944, 29.0709642569704, 20.2941773267944, 29.0709642569704
1, 1, 1, 46, 7, 7, 26.2894912509679, 85, 85, 100, 100, 0, 6, 0, 0, 16.7228882071819, 25.2894812509679, 17.7323737077763, 26.2894912509679, 17.7323737077763, 26.2894912509679
1, 1, 1, 47, 7, 7, 27.7594528801183, 85, 85, 100, 100, 0, 6, 0, 0, 17.8289153293681, 26.7594428801183, 18.9674843267281, 27.7594528801183, 18.9674843267281, 27.7594528801183
1, 1, 1, 48, 7, 7, 25.3084481945802, 85, 85, 100, 100, 0, 6, 0, 0, 15.4773440054326, 24.3084381945802, 16.4795242601599, 25.3084481945802, 16.4795242601599, 25.3084481945802
1, 1, 1, 49, 7, 7, 28.2387353004036, 85, 85, 100, 100, 0, 6, 0, 0, 21.2097192781906, 27.2387253004036, 22.2320025460402, 28.2387353004036, 22.2320025460402, 28.2387353004036
1, 1, 1, 50, 7, 7, 26.8891045804853, 85, 85, 100, 100, 0, 6, 0, 0, 17.8231094579416, 25.8890945804853, 19.0049518649466, 26.8891045804853, 19.0049518649466, 26.8891045804853
1, 1, 1, 51, 7, 7, 25.5150695998707, 85, 85, 100, 100, 0, 6, 0, 0, 17.793215545841, 24.5150595998707, 18.8321612002658, 25.5150695998707, 18.8321612002658, 25.5150695998707
1, 1, 1, 52, 7, 7, 28.3787132008934, 85, 85, 100, 100, 0, 6, 0, 0, 18.4069692121968, 27.3787032008934, 19.4319691787337, 28.3787132008934, 19.4319691787337, 28.3787132008934
1, 1, 1, 53, 7, 7, 24.5716261602923, 85, 85, 100, 100, 0, 6, 0, 0, 17.7226590420749, 23.5716161602923, 18.7359017072033, 24.5716261602923, 18.7359017072033, 24.5716261602923
1, 1, 1, 54, 7, 7, 27.283409989869, 85, 85, 100, 100, 0, 6, 0, 0, 20.333506786405, 26.283399989869, 21.3722591946298, 27.283409989869, 21.3722591946298, 27.283409989869
1, 1, 1, 55, 7, 7, 27.4829766281577, 85, 85, 100, 100, 0, 6, 0, 0, 19.344313385838, 26.4829666281577, 20.5013552291303, 27.4829766281577, 20.5013552291303, 27.4829766281577
1, 1, 1, 56, 7, 7, 26.3054666235739, 85, 85, 100, 100, 0, 6, 0, 0, 19.4445253485996, 25.3054566235739, 20.4554148659715, 26.3054666235739, 20.4554148659715, 26.3054666235739
1, 1, 1, 57, 7, 7, 26.1926145561763, 85, 85, 100, 100, 0, 6, 0, 0, 19.5855465301318, 25.1926045561763, 20.6208352041766, 26.1926145561763, 20.6208352041766, 26.1926145561763
1, 1, 1, 58, 7, 7, 24.9130265065663, 85, 85, 100, 100, 0, 6, 0, 0, 16.7466699284097, 23.9130165065663, 17.9009078164106, 24.9130265065663, 17.9009078164106, 24.9130265065663
1, 1, 1, 59, 7, 7, 30.8066576951371, 85, 85, 100, 100, 0, 6, 0, 0, 22.7098573624256, 29.8066476951371, 23.7493586697443, 30.8066576951371, 23.7493586697443, 30.8066576951371
1, 1, 1, 60, 7, 7, 28.4541680054431, 85, 85, 100, 100, 0, 6, 0, 0, 18.6617514140676, 27.4541580054431, 19.7593644085312, 28.4541680054431, 19.7593644085312, 28.4541680054431
1, 1, 1, 61, 7, 7, 25.6353205377308, 85, 85, 100, 100, 0, 6, 0, 0, 20.4975249187917, 24.6353105377308, 21.5645740303698, 25.6353205377308, 21.5645740303698, 25.6353205377308
1, 1, 1, 62, 7, 7, 24.9295740200917, 85, 85, 100, 100, 0, 6, 0, 0, 18.0277212781211, 23.9295640200917, 19.0335096854406, 24.9295740200917, 19.0335096854406, 24.9295740200917
1, 1, 1, 63, 7, 7, 26.6028649477437, 85, 85, 100, 100, 0, 6, 0, 0, 16.0567225958221, 25.6028549477437, 17.0890874115722, 26.6028649477437, 17.0890874115722, 26.6028649477437
1, 1, 1, 64, 7, 7, 27.0007860856406, 85, 85, 100, 100, 0, 6, 0, 0, 18.7672773944717, 26.0007760856406, 19.891118006662, 27.0007860856406, 19.891118006662, 27.0007860856406
1, 1, 1, 65, 7, 7, 25.5997853013294, 85, 85, 100, 100, 0, 6, 0, 0, 20.0619302885225, 24.5997753013294, 21.188507587951, 25.5997853013294, 21.188507587951, 25.5997853013294
1, 1, 1, 66, 7, 7, 25.1455458560451, 85, 85, 100, 100, 0, 6, 0, 0, 16.3968930750307, 24.1455358560452, 17.5786077664607, 25.1455458560451, 17.5786077664607, 25.1455458560451
1, 1, 1, 67, 7, 7, 28.4820726799916, 85, 85, 100, 100, 0, 6, 0, 0, 19.0779820582997, 27.4820626799916, 20.1654064798051, 28.4820726799916, 20.1654064798051, 28.4820726799916
1, 1, 1, 68, 7, 7, 27.2355001462025, 85, 85, 100, 100, 0, 6, 0, 0, 23.0214373736953, 26.2354901462025, 24.0561228686758, 27.2355001462025, 24.0561228686758, 27.2355001462025
1, 1, 1, 69, 7, 7, 27.2855546153898, 85, 85, 100, 100, 0, 6, 0, 0, 18.9759404987286, 26.2855446153898, 20.0687709428088, 27.2855546153898, 20.0687709428088, 27.2855546153898
1, 1, 1, 70, 7, 7, 28.130100413269, 85, 85, 100, 100, 0, 6, 0, 0, 18.9592509111146, 27.130090413269, 20.0514297738979, 28.130100413269, 20.0514297738979, 28.130100413269
1, 1, 1, 71, 7, 7, 27.2934377459332, 85, 85, 100, 100, 0, 6, 0, 0, 19.2533518097979, 26.2934277459332, 20.2756532838117, 27.2934377459332, 20.2756532838117, 27.2934377459332
1, 1, 1, 72, 7, 7, 25.4140586054467, 85, 85, 100, 100, 0, 6, 0, 0, 21.6395000576003, 24.4140486054467, 22.7594401952016, 25.4140586054467, 22.7594401952016, 25.4140586054467
1, 1, 1, 73, 7, 7, 25.882825914308, 85, 85, 100, 100, 0, 6, 0, 0, 20.9068086472593, 24.882815914308, 21.9072448894284, 25.882825914308, 21.9072448894284, 25.882825914308
1, 1, 1, 74, 7, 7, 26.741627315079, 85, 85, 100, 100, 0, 6, 0, 0, 19.4706112998982, 25.741617315079, 20.4872109467982, 26.741627315079, 20.4872109467982, 26.741627315079
1, 1, 1, 75, 7, 7, 26.8114500612056, 85, 85, 100, 100, 0, 6, 0, 0, 18.4058601899424, 25.8114400612056, 19.4241972980197, 26.8114500612056, 19.4241972980197, 26.8114500612056
1, 1, 1, 76, 7, 7, 26.9786125484734, 85, 85, 100, 100, 0, 6, 0, 0, 17.4906109611257, 25.9786025484734, 18.521742739948, 26.9786125484734, 18.521742739948, 26.9786125484734
1, 1, 1, 77, 7, 7, 26.6569832906759, 85, 85, 100, 100, 0, 6, 0, 0, 18.7114151058387, 25.6569732906759, 19.8916579559609, 26.6569832906759, 19.8916579559609, 26.6569832906759
1, 1, 1, 78, 7, 7, 26.8617988631884, 85, 85, 100, 100, 0, 6, 0, 0, 19.7997893609063, 25.8617888631884, 20.810688218348, 26.8617988631884, 20.810688218348, 26.8617988631884
1, 1, 1, 79, 7, 7, 27.6476832486086, 85, 85, 100, 100, 0, 6, 0, 0, 20.9927278921693, 26.6476732486086, 22.0060831789224, 27.6476832486086, 22.0060831789224, 27.6476832486086
1, 1, 1, 80, 7, 7, 25.9816831751953, 85, 85, 100, 100, 0, 6, 0, 0, 15.6247691976788, 24.9816731751953, 16.7696511647083, 25.9816831751953, 16.7696511647083, 25.9816831751953
1, 1, 1, 81, 7, 7, 26.0495851110568, 85, 85, 100, 100, 0, 6, 0, 0, 18.3937731992792, 25.0495751110568, 19.4713025547805, 26.0495851110568, 19.4713025547805, 26.0495851110568
1, 1, 1, 82, 7, 5, 23.145906313782, 85, 85, 100, 100, 0, 6, 0, 0, 13.8576779646189, 22.145896313782, 15.0359420905821, 23.145906313782, 15.0359420905821, 23.145906313782
1, 1, 1, 83, 7, 7, 26.6439354699491, 85, 85, 100, 100, 0, 6, 0, 0, 18.6058284253708, 25.6439254699491, 19.6387780723869, 26.6439354699491, 19.6387780723869, 26.6439354699491
1, 1, 1, 84, 7, 7, 27.4495586735791, 85, 85, 100, 100, 0, 6, 0, 0, 20.1386066524935, 26.4495486735791, 21.1409106744378, 27.4495586735791, 21.1409106744378, 27.4495586735791
1, 1, 1, 85, 7, 7, 25.4185313119664, 85, 85, 100, 100, 0, 6, 0, 0, 16.3973468275193, 24.4185213119664, 17.4735280954787, 25.4185313119664, 17.4735280954787, 25.4185313119664
1, 1, 1, 86, 7, 7, 28.0838025866839, 85, 85, 100, 100, 0, 6, 0, 0, 18.8909246448129, 27.0837925866839, 20.0494141848433, 28.0838025866839, 20.0494141848433, 28.0838025866839
1, 1, 1, 87, 7, 7, 26.5586650816591, 85, 85, 100, 100, 0, 6, 0, 0, 18.25881665143, 25.5586550816591, 19.2677241594927, 26.5586650816591, 19.2677241594927, 26.5586650816591
1, 1, 1, 88, 7, 7, 27.1823188515774, 85, 85, 100, 100, 0, 6, 0, 0, 18.4960617157388, 26.1823088515774, 19.516927628114, 27.1823188515774, 19.516927628114, 27.1823188515774
1, 1, 1, 89, 7, 7, 28.0762806745416, 85, 85, 100, 100, 0, 6, 0, 0, 23.1250349154987, 27.0762706745416, 24.3312967206218, 28.0762806745416, 24.3312967206218, 28.0762806745416
1, 1, 1, 90, 7, 7, 27.6546708690834, 85, 85, 100, 100, 0, 6, 0, 0, 20.1809510285295, 26.6546608690834, 21.2078089536733, 27.6546708690834, 21.2078089536733, 27.6546708690834
1, 1, 1, 91, 7, 7, 25.7310193204338, 85, 85, 100, 100, 0, 6, 0, 0, 18.4003594263289, 24.7310093204338, 19.4959823446645, 25.7310193204338, 19.4959823446645, 25.7310193204338
1, 1, 1, 92, 7, 7, 25.8451714007405, 85, 85, 100, 100, 0, 6, 0, 0, 17.3365247295723, 24.8451614007405, 18.3764471106856, 25.8451714007405, 18.3764471106856, 25.8451714007405
1, 1, 1, 93, 7, 7, 24.7198585257973, 85, 85, 100, 100, 0, 6, 0, 0, 16.1696970749437, 23.7198485257973, 17.1819650248546, 24.7198585257973, 17.1819650248546, 24.7198585257973
1, 1, 1, 94, 5, 7, 26.6190999964615, 85, 85, 100, 100, 0, 6, 0, 0, 16.4562647828641, 25.6190899964615, 17.5747288828393, 26.6190999964615, 17.5747288828393, 26.6190999964615
1, 1, 1, 95, 7, 7, 27.3811873683137, 85, 85, 100, 100, 0, 6, 0, 0, 16.6773222341369, 26.3811773683137, 17.7044158701484, 27.3811873683137, 17.7044158701484, 27.3811873683137
1, 1, 1, 96, 7, 7, 27.1473601918161, 85, 85, 100, 100, 0, 6, 0, 0, 20.7456384855097, 26.1473501918161, 21.8113446147387, 27.1473601918161, 21.8113446147387, 27.1473601918161
1, 1, 1, 97, 7, 7, 25.6998277711971, 85, 85, 100, 100, 0, 6, 0, 0, 16.8883594115638, 24.6998177711971, 18.0582088599103, 25.6998277711971, 18.0582088599103, 25.6998277711971
